teacher_prefix,school_state,project_grade_category,project_subject_categories,project_subject_subcategories,project_title,project_essay_1,project_resource_summary,teacher_number_of_previously_posted_projects,project_is_approved
Mrs.,GA,Grades PreK-2,Literacy & Language,Literature & Writing,Sunsational Beginmings,"Kindergarten is high energy , fast paced and packed to the gills with learning activities at Cox Elementary. Our learners range from those who have received prior Pre K services while others might have never had access to a pencil and paper.  They are however entering a school with dedicated teachers that care about laying a foundation for success that starts NOW! My goal is to invite students into an aesthetically pleasing room to learn , work , make a child sized mess and grow.","My students need chairs that POP and set the stage for working . The bright yellow of these chairs mirrors the sunshine which brings hope , warmth and smiles each day.",0,1
Mr.,NY,Grades 6-8,Applied Learning,Extracurricular,Technology & Debate: Tools of Enrichment,"PS 161 has a passionate and dedicated debate team that strives to involve students in an educational activity that builds reading, research, communication, and critical thinking skills. Debate improves academic performance (debaters earn higher grades than their peers, have higher attendance rates, and are more likely to test as college ready in English, Reading, Math and Science); graduation rates (90% of urban debaters graduate on time); prepares students for college and 21st century careers (89% of urban debaters attend college); and inspires political and civic engagement (debaters are more likely to vote, volunteer for a campaign, or run for office).\r\nAs a low income, Title 1 public school in Harlem with 94% of students on free lunch and 37% of students chronically absent, PS 161 would profit from student involvement in an activity that takes educational discourse and extends it beyond the classroom.\r\nWhen asked to discuss the value of debate, one 8th grader states, \""The prizes aren’t just the trophies and the medals, but the knowledge that you will keep with you forever!\""",My students need access to educational technology such as eReaders or laptops that bring research and information to students' fingertips and incentivize students to keep expanding their spheres of knowledge.,0,0
Ms.,NY,Grades 3-5,Literacy & Language,Literacy,Books and Magazines for Voracious Readers!,"I teach in a city school district in Brooklyn. My 26 students love to learn! I have many avid readers and creative thinkers. \r\n\r\nWe spend a ton of time every day reading, which increases our reading abilities and boosts our knowledge about a wide range of subjects. My students love shopping for new books in my classroom library, and diving in during independent reading time! We read for at least a half hour during the school day, and another half hour at home every day.","My students need high-interest, high-level books, as well as timely non-fiction.",2,1
Mr.,CA,Grades 9-12,Music & The Arts,Visual Arts,"Concert Posters: Art, Design, and History","My Multimedia students learn the importance of creating and communicating a clear message using Multimedia tools while collaborating on projects with their Humanities (English and History) teacher.\r\n\r\nAt HTHI we have a very diverse student body as we accept students into our school through a zip-code based lottery that promotes equity and social class integration.\r\n\r\nOur curriculum is fully project-based as our students do not learn through text books, but they learn through hands-on integrated projects. My students are passionate about making videos and everything that goes along with video production.",My students need a high quality large format printer so that they are able to print out their beautifully designed concert posters.,1,1
Ms.,WI,Grades PreK-2,"Applied Learning, Health & Sports","Early Development, Health & Wellness",Play Is Learning: Active Bodies and Healthy Kindergarten Minds,"We have such a wonderful group of kindergartners this year! \r\n\r\nThey are 40 amazing 5 year old students who are full of enthusiasm, joy and are so happy to be in school.\r\n\r\nOur school is one full of innovation and we are fortunate to be surrounded by a great community of families who are always willing to support us in every way they can. We have just over 400 students and about 75% of them qualify for free and reduced lunch. In average,  1 in 11 of our students experiences homelessness during the school year. In spite of some of these hardships, our students come to school full of energy and ready to learn. We want to make sure that we address their physical needs just as much as we address their educational ones.",My students need materials to provide them with varied opportunities for gross motor activities and play in our kindergarten playground.,5,1
Mrs.,FL,Grades PreK-2,Music & The Arts,Visual Arts,Let's Paint the Town!,"I teach 1st grade at a high poverty, Title 1 school. I have 18 six year old students who can't wait to learn more about the world. My students have the desire to learn, but often lack the background knowledge needed for a successful school year. Many of my students do not have books at home that are challenging and stimulating to them and some have parents who cannot read themselves.  \r\n\r\n\""If a child cannot learn the way we teach, maybe we should teach the way they learn!\"" Ignacio Estrada had it right!  I am constantly looking for ways to improve my teaching to my students who come from such different backgrounds and experiences. \r\n",My students need art supplies to get their creative juices flowing!,12,1
Ms.,CA,Grades 3-5,"Math & Science, Literacy & Language","Environmental Science, Literature & Writing",Environmental Science: Recycling,I have a wonderful group of 5th graders with a wide range of abilities who are eager to learn when they walk into the classroom.\r\n\r\nMy students come to class and try their best every day. They are mostly English Language Learners who attend a Title 1 inner city school where they get free lunch. The majority of the students come from a lower socioeconomic background with working parents. My students work very hard to do their best with what they have at home and what we have at school; and working with their smiling faces only makes me want to make sure they are provided with the materials they need and deserve to succeed in school!,"My students need Chromebooks , iPad, and iPad VGA  adapter for our environmental science projects.",1,1
Ms.,MI,Grades PreK-2,Health & Sports,"Health & Wellness, Nutrition Education",Grow. Eat. Love.,"Children are hands-on learners. It is essential that teachers can provide their students materials that allow them to learn in ways that meet their various unique needs. Children need a chance to experiment as they learn. \r\n\r\nMy classroom is in Michigan, bordering Detroit just to the south. My students come from a wide range of backgrounds, experiences, and family structures. For some of my students, our school is their first structured educational environment, while other students come from many preschool experiences. \r\n",My students need an indoor garden to learn about growing healthy food and eating nutritious meals.,20,0
Mrs.,CA,Grades PreK-2,Literacy & Language,Literacy,Inspire Readers With TOON Graphics Books!!,"I feel so fortunate to have the privilege being a 2nd grade Dual Immersion teacher at an incredible elementary school in California. Our school offers a unique Dual Immersion program whose goals include helping to foster children’s' (1) development of fluency in communication and literacy in two languages, English and Spanish, (2) acquisition of knowledge in all academic subjects, and (3) understanding and appreciation of other cultures, while at the same time inspiring self-esteem, and strengthening positive attitudes among students, their families and communities. I am thrilled to be part of the Dual Immersion program and believe strongly in its goals. My students are amazing! They are learning to read, write, speak and listen in both Spanish and English, as well as reaching for mastery of all of the other academic content standards. \r\n\r\nOur school is in Program Improvement for the fifth year in a row, we are Title 1, and we have many socioeconomically disadvantaged students as well as English learners.  My 2nd-grade students are at the critical age. They are learning strong fundamental skills in reading. What they learn this year will affect the rest of their educational experience, and so failure is not an option!","My students need one TOON Graphics set, titled “14 Prize-Winning TOON Books for K-3.”",31,1
Mrs.,WA,Grades PreK-2,Health & Sports,"Health & Wellness, Nutrition Education",Krunching Kinder Kiddos,"Teaching in a high-poverty school, my students face many challenges. Many of them know little to no English and struggle with social skills & school structure. Many of my students only eat what we serve at school. They are living with struggles so of us have never known. \r\nMy students work hard at learning and want to do their very best. My students deserve the very best. They deserve to be kids and play and explore in a safe environment.  The more opportunity I can give them to learn necessary life skills and engage with hands-on activities the more they will internalize their learning and be able to apply what they have learned.",My students need healthy snacks to help fuel their hungry minds.,5,1
Mrs.,TX,Grades 3-5,Special Needs,Special Needs,Sensational Sensory,"My students are determined to grow in all ways academcially with strength and encouragement throughout the learning environment. My students backgrounds vary from low income to high and single parent or two parent households. All of my students are diagnosis with a disability that effects there education such as ADHD, learning disability, and autism. Throughout my school day I teach small group instruction in reading, math, and social skills, as well as, going into the classrooms to support students with grade level material. \r\n\r\nI am amazed everyday at my students ability to overcome obstacles set before them. As I enter my 3rd year in teaching, I am reminded everyday about how important my jobs is. My students push through to prove that there struggles will not hold them back and prevent them from achieving there dreams. Instilling dreams, courage, and self-esteem into my students is a priority within my classroom and school campus.",My students need these sensory items to focus during academic work and fidget throughout class without disrupting the learning of other classmates.,0,0
Ms.,GA,Grades 6-8,History & Civics,Social Sciences,I am Malala Novel Project,I teach a wonderful group of 7th grade students in a rural part of NE Georgia very close to a major university. My students struggle with reading and writing but have a huge desire to become better students. Many of my students have learning disabilities or diagnosed attention disorders but that is not preventing them from doing their best in my social studies classroom. They are curious about the world and are engaged in the lessons and activities we do in class.,My students need a class set of the novel I Am Malala (young readers edition) for our novel reading project in mid to late October.,1,1
Mrs.,CA,Grades 6-8,Literacy & Language,Literacy,It's a Reading Thing,"I try to bring the love of reading to my students, so when I find a novel they like I make sure we read it.  The novels Things Not Seen and The Giver are well liked books in my class.  Once we have read these novels my students tell me how much they enjoyed reading.  Many times they will seek other novels by the same authors.  \r\n\r\n\""Because of reading Things Not Seen, I actually like to read now\"", is just one of the many comments I have gotten from my students.  It is so empowering as a teacher to bring out the love of literature in the classroom.  \r\n\r\n",My students need need new books because they are literally falling apart in their hands.,7,1
Mrs.,WI,Grades 3-5,Math & Science,Mathematics,Inspirational Math!,Our school is a rural 4K through 8th grade school in Southeastern Wisconsin. We have amazing students who want to embrace learning opportunities. My class offers an opportunity for students to challenge themselves in the area of math.  \r\n\r\nMaking math a fun and exciting opportunity for all students is my goal.  We provide time at lunch and recess for our kids to do math games. We encourage using fun activities to strengthen math basic skills. We do these activities at lunch or recess to give all children an opportunity to participate.,My students need Math 24 cards to participate in this activity.,0,1
Ms.,NY,Grades PreK-2,"History & Civics, Math & Science","Financial Literacy, Mathematics",Financing a Restaurant,"My students are an amazing group of caring, funny, and kind 6 year olds. They are a diverse group; many students having special needs and most being English Language Learners. They all come from very different home environments. Some of my students are lucky enough to live with their parents and siblings, while others may live with their grandparents or other guardians while their parents are out of state for work. Many of my students tend to lack resources, experience, and exposure from home, so it is important for me to provide them with experiences that are both academic and fun.","My students need plates, napkins, utensils, table cloths, cooking supplies, a cash register, and some craft supplies to help us open our own restaurant!",61,0
Ms.,NC,Grades PreK-2,"Math & Science, Literacy & Language","Health & Life Science, Literacy",First Grade Reading Fun! Scholastic Book Sets Needed (Title 1),"I am a first grade teacher with a great group of students!  They are eager to learn, amazing work ethic, and overall positive outlook on life.  They deserve the best education possible. They are hard workers and strive to make their world a better place.\r\n\r\nI teach at a Title I school, where every child receives free breakfast and lunch.  We are located near a large military base and as a result, serve children of active duty and retired military.\r\n",My students need these nonfiction books about sports and animals at their independent reading levels. These books will also boost literacy and a love of reading!,4,1
Ms.,DE,Grades PreK-2,Literacy & Language,"Literacy, Literature & Writing",We Want to Meet Our Language and Literacy Goals!,"I work specifically with students with disabilities which impede their ability to learn. Our school is nestled in Wilmington in a high needs area. The neighborhood surrounding the school is as such that teachers are encouraged to leave before dark and we are encourages to keep our cars are locked up in a lot during the day to keep them safe. \r\nWhile my students often have experienced difficult situations, they are still eager to learn and enjoy engagement. My students enjoy school and really do try everything they can to keep up with their peers. \r\n",My students need a listening center to access repeated readings of materials which other students may only need once and to help them meet their language goals on their IEPs.,0,1
Mrs.,GA,Grades 9-12,Math & Science,"Applied Sciences, Health & Life Science",Making labs happen!,"I am a co-teacher at a small rural Title I high school. GO INDIANS! We are dedicated to our desire to graduate everyone! I work in the science department and have the honor to serve with the most amazing group of teachers I know, they teach Biology, Environmental Science and Physical Science in our shared classrooms. The majority of our students are successful in their general education classrooms even though many of them struggle with intellectual, emotional and learning disabilities. Our textbooks are dated and the majority of the teachers I work with have created their own curriculum based on the standards, our teachers use empirically supported data to drive teaching and they're innovative! These teachers are true facilitators using interactive notebooks, games, labs and Google classroom to assist all students towards success. Though we are are proud of our accomplishments it is difficult to access the benefits of technology due to our limited tools. We are doing a great job sharing what we have but it would truly benefit our children to have the opportunity to really incorporate technology opportunities into their learning. As important as literacy is, so also is the ability navigate technology today.","My students need opportunities for hands on learning, they love labs and seeing/touching what they are learning about.",0,0
Ms.,TX,Grades PreK-2,Literacy & Language,"Literacy, Literature & Writing",Super Learners Learning Super-ly!,"Have you ever just looked at a group of kids and laughed? Those would be my kids. My kids are in second grade bilingual classroom. Since I am a block teacher I teach twice as many kids and have twice the amount of love to share. They are Spanish speakers making that delicate but awesome transition into English.  They have so much growth to achieve and I want to help them in every step of the way.\r\nI want them to to able to use technology at their desks, as teams, on the carpets, in their beanbag chairs, and basically EVERYWHERE.",My students need 5 tablets to able to have access to technology whenever they deem it necessary no matter where they are in my room.,0,0
Ms.,NC,Grades PreK-2,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",What's The Best Strategy?,"Our school is 95 percent free and reduced lunch. Some of our students are homeless, which motivates me even more to reach each and every one of them. They have good hearts and want to do the right thing. My students deserve a great education no matter what. Children are like sponges ready to soak up everything you give out.\r\n It is my pleasure and duty to help shape their precious minds to love learning and be successful. Most of my students do not have colorful books or hands on activities and they love it when we provide this at school.   As their teacher, I strive to give them a rich learning environment that engages them as 21st-century learners.\r\nWe must also have reading passages and math problem solving centers in color.",My students need What's the Best Strategy Problem Solving Centers and Ink Cartridges for hands on activities that provide great interaction with their peers.,39,0
Ms.,IL,Grades 3-5,Special Needs,Special Needs,Toys for Autism!,"My students are 3rd - 5th graders on the autism spectrum. They come in each morning, eager to learn! They are a sweet bunch of boys and girls with a variety of needs and strengths, who benefit from a warm and structured atmosphere. \r\n\r\nEach student works diligently each day, showing me their strength, perseverance, and determination. The unique qualities they possess allow them to learn in a unique way. We spend a ton of time laughing, learning, and exploring life together!","My students need toys to build their imagination, creativity, and play skills!",0,0
Mrs.,MN,Grades 3-5,"Math & Science, Literacy & Language","Applied Sciences, Literacy","Crack The Codes, Bust The Locks and  BreakoutEDU!","We have a great team of third grade teachers striving to provide our students with meaningful, relevant learning experiences. We know that the social and emotional learning go hand in hand. So, we want to use educational materials that engage and get our students collaborating together. Our team works together to do this for all \""our\"" kids. \nThird graders are awesome with their emerging leadership skills and blossoming awareness of who they are and their place in the world. Our kids are a diverse group of learners with many strengths that we want to build up.  We help them identify their \""spark\"" and how they can have a positive impact on the community. We love our kids!","My students need Breakout EDU kits to play countless Breakout games. We need a collection of locks, hidden contraptions, keys, and other “diversion hardware” that engage the kids in team challenges!",0,1
Mrs.,WI,Grades PreK-2,"Math & Science, Literacy & Language","Health & Life Science, Literacy",Hatching Up Hands On Learning in Kindergarten!,Our Kindergarten classrooms value the learning of all our students in a variety of situations.   We have students of all skill abilities integrated in our everyday classrooms.. \r\nWe want each and every child regardless of their learning abilities to feel success.  We team with special education teachers to provide the best learning environment for all our students.  We are located in a rural part of our school district. As a result we want to provide learning experiences that are familiar to them.,My students need hands on science materials for exploring what animals need to survive.,0,0
Ms.,NY,Grades PreK-2,Literacy & Language,Literacy,Building Our Lending Library,"My students are amazing!  On a daily basis they do whatever they can to focus on learning in order to become the best they can be.  \r\n     \r\nMy students are mostly English Language Learners in a high-needs school in the Bronx.  They love learning but lack the basic resources needed to make their dreams become reality.  Resources that many take for granted, such as books to read, are scarce.  Just like any other students, they deserve the ability to read quality, high-interest text.",My students need additional books to expand our the classroom library.,18,1
Ms.,OK,Grades PreK-2,"Applied Learning, Literacy & Language","Early Development, Literacy",Learning Through Play,"I teach a class full of lively 4 and 5 year olds. We are always on the move and their little hands and feet are always busy. Even though I have a busy group of students, they are some of the sweetest 4 and 5 year olds you will ever meet! I work at a very low income school with more than 80% of students who speak Spanish. Even though my fellow teachers and I experience some of the craziest things when it comes to these kids, I would never trade my school for anything. I work with some of the most caring and giving people you will ever meet.",My students need dramatic play toys to help them explore the world around them.,14,0
Mrs.,TX,Grades 3-5,Math & Science,Applied Sciences,Build it and they will have fun.,"\""Do not fear mistakes. You will know failure. Continue to reach out.\""Benjamin Franklin\r\n\r\nOur school is a K-5 title-one campus. Specifically I teach 3rd grade in an inclusion classroom. This means I have a very diverse population. My students are very eager and love new and exciting things. They have been a part of our campus movement to get more hands on, use inquiry and STEM based lessons to integrate the Texas curriculum. We would use this Donor Choose Grant to build on our already blooming excitement for science, technology, engineer and math.","My students need Keva blocks to build : imagination, teamwork, and problem solving in the classroom. Each of these sets would be used as brain teasers, morning work for team building skills, and integrated with STEM.",5,0
Mr.,CA,Grades 3-5,Health & Sports,Gym & Fitness,Physical Fitness and Good Health Begins in School,"My students are eager, highly active, curious, and imaginative hands on learners. My students are engaged daily in a rigorous, integrated academic curriculum, which includes a strong understanding of good health practices and physical education. My students live in a high poverty, metropolitan city and attend a Title 1 school.  Our inner city school lacks the funding to access supplemental learning materials. \r\nMy students show up to class daily and work diligently to overcome the many challenges they face living in the inner city. My students enjoy working cooperatively and display great creativity. Parents continually seek the best possible educational opportunities for their child.  Additionally, I believe children benefit from experiences that include discovery, exploration, awakening curiosity, and an appreciation of good health and physical fitness.","My students need Fitbit Zip Wireless Activity Trackers and a Kit Equipment Learn to Move, Move to Learn to promote student physical fitness and good health.",19,1
Ms.,MI,Grades PreK-2,Health & Sports,Gym & Fitness,We Like to Move It!,"Busy Busy Busy, that's what we are.  I have a classroom of energetic students who greatly benefit from gym class.   Last year we were not able to have gym regularly because our gym teacher had to sub in a second grade class for the majority of the school year.  \r\nI teach a fun loving, active group of students who have autism.  During our designated  gym period we began our own physical activity time to expel some energy and have some fun.","My students need materials to help keep active such as the Let's Get Moving Activity Mats, Let' Get Moving Counting Kits, and the giant tunnel. These materials will allow the students to learn and be active.",0,0
Mrs.,SC,Grades PreK-2,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Just My Height,"Our school is located in a  high-poverty rural community in South Carolina. We are a Title One School that houses almost 800 Pre-K through 2nd grade students. We provide free breakfast and lunch for all of our students. Despite their economic backgrounds, our students come to school  eager to learn with a smile on their face. \r\n\r\n\""A child can teach an adult three things: to be happy for no reason, to always be curious, and to fight tirelessly for something\"" \r\n-Paulo Coelho \r\n",My students need The  all-purpose teaching  easel because it will provide an interactive learning area that will allow grade level instruction at a developmentally appropriate height.,0,1
Ms.,OK,Grades PreK-2,Health & Sports,Health & Wellness,Flexible Classroom Seating for Firsties,"Where do you do your best work; sitting in a comfortable chair, leaning against a pillow, standing at your counter, or laying on the floor? Students need to be given the option of where they are most comfortable to learn.\r\n\r\n    My students are comprised of a varied mix of socioeconomic levels as well as academic levels.\r\n\r\nApproximately 75% percent of our students qualify for free or reduced lunches. School is a safe place for my students and they are excited to be there. My students love working in different spots around the room, but we do not very many options for comfortable seating. My students are more productive, engaged, and happy when they are allowed to choose a spot to work and collaborate with peers.  They have a strong passion for learning, but they do not always have the resources to help them.","My students need a classroom rug, bean bag chairs, and floor seats as options to sit on in the classroom.",26,1
Ms.,IA,Grades 3-5,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Alternative Seating (or Standing) Please!,"I have a 17, very rambunctious students this year! My students come from a wide range of backgrounds, but they all have one thing in common: they love to come to school.  \r\n\r\nMy students are very different in the way that they look and in the ways that their families live, but they all come to school everyday with the same love of learning that our school works hard at instilling in them.  \r\n\r\nHelp me keep this love for learning!\r\n\r\n",My students need 3 stand up desks and 5 exercise balls to use instead of chairs.,0,1
Mrs.,MA,Grades 6-8,History & Civics,"History & Geography, Social Sciences",Bringing Technology And Geography Together In The Classroom,"Technology is a big part of today's learning. Having it can help students focus and become more involved. My world geography students need technology to be able to better access information and be successful world citizens.\r\nMy students are seventh graders in one of Boston's Public Schools. Most of them come from low income families who speak English as a second language. My students bring a great diversity of background and knowledge of the world to their classroom. They are avid readers, technology-savvy and very curious about the world around them. \r\nI want to provide them with resources and tools so they can use their curiosity and become more knowledgeable and engaged with the world.",My students need a projector and screen to give them access to better resources and to help display their work in the classroom.,0,1
Mr.,CA,Grades 3-5,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts","Programming,  Robotics, and Design","I have an interesting group of kids with a very diverse set of skills. We are here at donorschoose.org to find funding to purchase apps, technology, art and building supplies to offer expereiences to each of them in their different fields of strength.\r\n\r\nThe future is in communication; whether it be via computer programming or person to person relations.    I hope to expose the kids to just that and guide them in a learning experience. We are now a one-to-one classroom using chromebooks.  Colaboration via the gambit of google apps is key. From sheets to docs the kids work together, share, and learn together. \r\n\r\n The children are surpassing my expectations everyday with their computer skills. This gives me the opportuity to continue to raise the bar for them.  The Mbots are one avenue for them to go above and beyond. Two of them may seem like not enough but it will force them to work together as a team or in teams to solve problems and write code.","My students need a chance to try out their programming,  problem solving, and art skills.",0,0
Mrs.,IL,Grades PreK-2,Math & Science,Applied Sciences,Learning to Code,"I have 30 rambuntious and excited first graders. Eighty-five percent of the students at my school are low income.  We have fully implemented technology to improve achievement. It is a school goal to incorporate technology more into the classroom. My students love technology! They are excited for anything that incorporates technology. It is inspiring to see the glow of excitement on their faces as we embark on new projects.\r\n\r\n\""Science is more than a school subject, or the periodic table, or the properties of waves. It is an approach to the world, a critical way to understand and explore and engage with the world, and then have the capacity to change that world...\""_ President Barack Obama.\r\n","My students need Coding Equimpent, Cozmo, Dash and Dot, Puzzlet and Osmo, and an Apple mini to learn how to code.",21,0
Mrs.,ND,Grades PreK-2,Applied Learning,Early Development,A Place of Our Own - Carpet Time,"I have been told to plan for 25 eager kindergarteners to walk into my classroom in August.  Though I have yet to meet these sweet little kiddos, I know that each of them will require different things from me. \r\n\r\nThe majority of those 25 students will need help tying their shoes, some will know the alphabet and others won't. These students will look to me, their teacher, for help in all areas and subjects of our kindergarten classroom. I look forward to getting to know these wonderful little beings and helping them develop into independent learners. I hope you will be inspired by what we will accomplish together this year.",My students need a classroom carpet where they each have their own place to sit during whole group instruction.,0,1
Ms.,WA,Grades PreK-2,Applied Learning,Other,Wanted: A functional classroom rug!  \r\n,"\r\nEvery day, I get to welcome twenty-six children into my classroom. Twenty-six children, who despite their rough home lives, come to school eager to learn. Although I may not be able to control their home lives, I can control their experience during the school day. \r\n\r\nMy students represent the melting pot of America \r\n\r\nOur school district is in one of the largest and most diverse districts in the country, with over 130 languages spoken by our families. Many of our students know multiple languages and as a result are English Language Learners. \r\n\r\nI teach at a K-6 Title 1 school. Many of my students come from single parent, high poverty/low income homes. Our students’ needs are high but our parent involvement is low; so encouraging and motivating my students to be thinkers and lifelong learners is MY responsibility.  \r\n","My students need a classroom rug so that every child has a spot to share ideas, listen and learn!",0,1
Mrs.,CA,Grades PreK-2,"Literacy & Language, Special Needs","Literacy, Special Needs",My Kiddos Have Wiggle Bottoms,"I work at a Title 1 school and have 21 students.  Eleven of them speak a language other than english. They are an amazing group of 6 & 7 year olds.  They are capable, hardworking, funny, caring and as adorable as can be! Everyone who meets them falls in love with my class! \r\n\r\n They also have wiggle bottoms and have a hard time sitting and working.  Sitting in a traditional chair can be challenging for some kids, especially those with attention problems.  They have the right to learn in the least restrictive environment, and I think Hokki stools would help.",My students need Hokki Stools to help active learners focus during instruction.,5,1
Mr.,UT,Grades 9-12,Literacy & Language,Literature & Writing,The Things They Carried,"My students read in my class every single day. Literacy is one of my greatest goals for my students, but sometimes, when literature is drawn out too long, students can lose interest in what they are reading. Having enough books to allow the students to read on their own helps fix that problem. My students are hard-working. Many of them work their farm jobs before they arrive at school every morning. They are very involved in their community and have pride in their school and in themselves. They dive into their work and out of their comfort zone.",My students need 40 copies of the novel The Things They Carried; each $9.19.,1,1
Mrs.,NC,Grades PreK-2,Health & Sports,Health & Wellness,Flexible Seating for a Fun Classroom!,"We are a Title 1 school in a rural but supportive community.  My students come from diverse backgrounds and are faced with challenges both in and out of the classroom each day.  \r\n\r\nMy students are active and I want them to be able to learn within the classroom and be comfortable at the same time!  My students learn differently, and traditional learning is not always the best option for every student.  My students are caring, energetic, and want to succeed!","My students need flexible seating options, such as stools and chairs.",0,0
Mr.,CA,Grades 9-12,Math & Science,Applied Sciences,Things That Go Bump in the Classroom,"My school is a large high school (1550 students) in a rural area. We are a growing school, and the Physics and Computer Science classes are growing rapidly. We are the older, and now smaller, of two comprehensive high schools in our district. \r\nPhysics has now become a required class for our students to graduate.  This will cause a huge increase in enrollment. My students are predominately second language learners, and most (about 70%) qualify for free lunch. These students are great. Many do not have parents who have gone to college, so a major focus of our school is in preparing students to think about going on with education after high school.",My students need bumper and launcher kits to help them understand momentum and collisions.,56,1
Mrs.,MA,Grades PreK-2,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Everyday Items for Excellence,"My second grade class is composed of 18 students, with 6 of these students being English Language Learners of various levels. This is a year of transition in our building, as our school district did some redistricting to ease overcrowding issues in some of our city's elementary schools. \r\nHousing pre-k through fifth grade, our school recently went from a level 3 to a level 1 school. This can be attributed to the hard work and dedication of our team of students, staff and families.",My students need these basic classroom supplies to maintain our everyday procedures!,1,1
Mrs.,SC,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",Encouraging Learning With Games,"My awesome class this year is full of second graders ready to be challenged! In rural South Carolina, we are often overlooked or forgotten. Our entire school district has been put on free and reduced lunch because the percentage served was so high. Most of my students come from single family homes, where parents and guardians are doing all they can to provide for their children. \r\n\r\nWe provide a safe haven for students to retreat to each and every day. School is a place where they know they will be loved and cared for. As their teacher, I try to make every day an exciting day for my little learners.",My students need both reading and math games and activities to continue to build foundation skills while working collaboratively during centers time.,6,0
Ms.,OH,Grades PreK-2,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Stars Shine to Reading Success!\r\n,"My students enter the classroom full of energy and ready to tell me all about their afternoon or what they did over the weekend.The majority of their literacy comes from their spoken dialogue.\r\nMy students come from various backgrounds.Many are being raised in one parent family homes, where most of there needs are not meet.All of them receive free breakfast and lunch.When we are together we share a community of love,compassion,and respect for each other.They say\"",Ms.Brown you are funny,You make me laugh\"".\r\n\r\n",My students need Chrome Books for daily classroom use in Literacy and Math centers.,0,1
Mrs.,OH,Grades 9-12,"Applied Learning, Special Needs","College & Career Prep, Special Needs",Let's Get To Work!,"My students with multiple disabilities each face unique challenges.  Our rural school is part of a supportive community.  The students are eager to learn and enjoy real-world experiences both in the classroom and in the community.  \r\nOur classroom focuses on functional academics, vocational readiness and life skills.  We have transition aged students in our classroom as well and are working on developing a program specifically geared toward their educational needs.  We are looking forward to providing them with real-world opportunities and experiences that will better prepare our students for life after high school!\r\n\r\n","My students need incentive items to stock a classroom \""store\"" and uniform shirts to wear during work experiences on and off campus.",7,1
Mr.,CA,Grades 6-8,Literacy & Language,Literature & Writing,Literacy for students with disabilities,"My Students are in the 8th grade and average about 13 years of age. These students are also serviced in the general education classroom in the inclusion program. I work with them in the Learning Center where i provide interventions in reading, writing and math, to help them progress through grade levels. A majority of the students are language learners. They particularly need this hands-on and computer online based programs to help them improve their grade level skills given all of them function 2 or 3 grade levels below. Also, the school services mostly underprivileged students with a diverse staff.",My students need a printer to work on online based intervention program called edgenuity.,4,1
Mr.,TX,Grades 3-5,Health & Sports,Team Sports,Sports Uniforms,"Here at Humble Elem we have started a basketball sports program to help students benefit from learning the fundamental skills of dribbling, shooting, passing, as well as the rules to basketball.  When these students first started out playing it was to get them involved in a sports program to teach them life skills such as teamwork. Most of these kids could not dribble a basketball or even make the ball reach the goal. Many of them were just playing so they could be a part of something. However, three months later these kids have found a love for a game and a lifelong hobby that many of them wish to pursue on the next level. While most of these kids did not have any skill development to start off now the majority of these kids are able to shoot the basketball with correct form as well as perform a proper layup. These amazing kids were laughed at by other students who watched them play starting off now they have the majority of the school excited about them representing the school and get excited about watching them play now.",My students need These uniform items will help my students at practice and games,1,0
Ms.,OH,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",Technology to Stimulate the Learning Process,"This school year cannot begin soon enough! The students in my school rely heavily on us as educators and mentors to stimulate and enrich their lives as soon as they arrive each day. Our school is currently providing 95% of our students with free breakfast and lunch, and many students walk to school daily or take the bus.  We are very focused on the well being of our students, and have made all of the accommodations and upgrades that we can. Currently, we have a small computer lab in our school that consists of a combination of only 25 computers/tablets for about 180 students. \r\n\r\nExtra technology within my classroom would enhance everyday learning. \r\nOur students enjoy coming to school each day, but they really enjoy using the computers in the lab when it is their turn.  The reason for this? Many of my students do not have an opportunity to use a computer or tablet at home, which makes this project even more important for them and to me. I would love my students to have the opportunities to learn with technology in our classroom so that they are not limited by their visits to our tiny computer lab.",My students need to explore beyond the classroom walls; 5 Chromebook computers will help this happen.,0,1
Mrs.,IN,Grades PreK-2,Applied Learning,Character Education,Organized for Success,"My students are curious and active second graders. They come from various cultural and socioeconomic backgrounds. They are hardworking, creative, and fun loving children. They work hard to be helpful to their classmates, as well as other teachers and students in our school. They deserve to have the necessary tools and supplies to help them grow both, academically and socially. Please help me support their learning and development, by donating to my classroom project. Thank you for helping support my classroom.","My students need chair pockets for their desks. They do not have lockers, so their desks fill up quickly. Chair pockets will help my students stay more organized, while keeping their supplies within arms reach.",0,1
